:enclosed_alphanumerics Characters
	Index |	Graphene  |	Hex   |
9312    |	    ①     |	0x2460 |
9313    |	    ②     |	0x2461 |
9314    |	    ③     |	0x2462 |
9315    |	    ④     |	0x2463 |
9316    |	    ⑤     |	0x2464 |
9317    |	    ⑥     |	0x2465 |
9318    |	    ⑦     |	0x2466 |
9319    |	    ⑧     |	0x2467 |
9320    |	    ⑨     |	0x2468 |
9321    |	    ⑩     |	0x2469 |
9322    |	    ⑪     |	0x246a |
9323    |	    ⑫     |	0x246b |
9324    |	    ⑬     |	0x246c |
9325    |	    ⑭     |	0x246d |
9326    |	    ⑮     |	0x246e |
9327    |	    ⑯     |	0x246f |
9328    |	    ⑰     |	0x2470 |
9329    |	    ⑱     |	0x2471 |
9330    |	    ⑲     |	0x2472 |
9331    |	    ⑳     |	0x2473 |
9332    |	    ⑴     |	0x2474 |
9333    |	    ⑵     |	0x2475 |
9334    |	    ⑶     |	0x2476 |
9335    |	    ⑷     |	0x2477 |
9336    |	    ⑸     |	0x2478 |
9337    |	    ⑹     |	0x2479 |
9338    |	    ⑺     |	0x247a |
9339    |	    ⑻     |	0x247b |
9340    |	    ⑼     |	0x247c |
9341    |	    ⑽     |	0x247d |
9342    |	    ⑾     |	0x247e |
9343    |	    ⑿     |	0x247f |
9344    |	    ⒀     |	0x2480 |
9345    |	    ⒁     |	0x2481 |
9346    |	    ⒂     |	0x2482 |
9347    |	    ⒃     |	0x2483 |
9348    |	    ⒄     |	0x2484 |
9349    |	    ⒅     |	0x2485 |
9350    |	    ⒆     |	0x2486 |
9351    |	    ⒇     |	0x2487 |
9352    |	    ⒈     |	0x2488 |
9353    |	    ⒉     |	0x2489 |
9354    |	    ⒊     |	0x248a |
9355    |	    ⒋     |	0x248b |
9356    |	    ⒌     |	0x248c |
9357    |	    ⒍     |	0x248d |
9358    |	    ⒎     |	0x248e |
9359    |	    ⒏     |	0x248f |
9360    |	    ⒐     |	0x2490 |
9361    |	    ⒑     |	0x2491 |
9362    |	    ⒒     |	0x2492 |
9363    |	    ⒓     |	0x2493 |
9364    |	    ⒔     |	0x2494 |
9365    |	    ⒕     |	0x2495 |
9366    |	    ⒖     |	0x2496 |
9367    |	    ⒗     |	0x2497 |
9368    |	    ⒘     |	0x2498 |
9369    |	    ⒙     |	0x2499 |
9370    |	    ⒚     |	0x249a |
9371    |	    ⒛     |	0x249b |
9372    |	    ⒜     |	0x249c |
9373    |	    ⒝     |	0x249d |
9374    |	    ⒞     |	0x249e |
9375    |	    ⒟     |	0x249f |
9376    |	    ⒠     |	0x24a0 |
9377    |	    ⒡     |	0x24a1 |
9378    |	    ⒢     |	0x24a2 |
9379    |	    ⒣     |	0x24a3 |
9380    |	    ⒤     |	0x24a4 |
9381    |	    ⒥     |	0x24a5 |
9382    |	    ⒦     |	0x24a6 |
9383    |	    ⒧     |	0x24a7 |
9384    |	    ⒨     |	0x24a8 |
9385    |	    ⒩     |	0x24a9 |
9386    |	    ⒪     |	0x24aa |
9387    |	    ⒫     |	0x24ab |
9388    |	    ⒬     |	0x24ac |
9389    |	    ⒭     |	0x24ad |
9390    |	    ⒮     |	0x24ae |
9391    |	    ⒯     |	0x24af |
9392    |	    ⒰     |	0x24b0 |
9393    |	    ⒱     |	0x24b1 |
9394    |	    ⒲     |	0x24b2 |
9395    |	    ⒳     |	0x24b3 |
9396    |	    ⒴     |	0x24b4 |
9397    |	    ⒵     |	0x24b5 |
9398    |	    Ⓐ     |	0x24b6 |
9399    |	    Ⓑ     |	0x24b7 |
9400    |	    Ⓒ     |	0x24b8 |
9401    |	    Ⓓ     |	0x24b9 |
9402    |	    Ⓔ     |	0x24ba |
9403    |	    Ⓕ     |	0x24bb |
9404    |	    Ⓖ     |	0x24bc |
9405    |	    Ⓗ     |	0x24bd |
9406    |	    Ⓘ     |	0x24be |
9407    |	    Ⓙ     |	0x24bf |
9408    |	    Ⓚ     |	0x24c0 |
9409    |	    Ⓛ     |	0x24c1 |
9410    |	    Ⓜ     |	0x24c2 |
9411    |	    Ⓝ     |	0x24c3 |
9412    |	    Ⓞ     |	0x24c4 |
9413    |	    Ⓟ     |	0x24c5 |
9414    |	    Ⓠ     |	0x24c6 |
9415    |	    Ⓡ     |	0x24c7 |
9416    |	    Ⓢ     |	0x24c8 |
9417    |	    Ⓣ     |	0x24c9 |
9418    |	    Ⓤ     |	0x24ca |
9419    |	    Ⓥ     |	0x24cb |
9420    |	    Ⓦ     |	0x24cc |
9421    |	    Ⓧ     |	0x24cd |
9422    |	    Ⓨ     |	0x24ce |
9423    |	    Ⓩ     |	0x24cf |
9424    |	    ⓐ     |	0x24d0 |
9425    |	    ⓑ     |	0x24d1 |
9426    |	    ⓒ     |	0x24d2 |
9427    |	    ⓓ     |	0x24d3 |
9428    |	    ⓔ     |	0x24d4 |
9429    |	    ⓕ     |	0x24d5 |
9430    |	    ⓖ     |	0x24d6 |
9431    |	    ⓗ     |	0x24d7 |
9432    |	    ⓘ     |	0x24d8 |
9433    |	    ⓙ     |	0x24d9 |
9434    |	    ⓚ     |	0x24da |
9435    |	    ⓛ     |	0x24db |
9436    |	    ⓜ     |	0x24dc |
9437    |	    ⓝ     |	0x24dd |
9438    |	    ⓞ     |	0x24de |
9439    |	    ⓟ     |	0x24df |
9440    |	    ⓠ     |	0x24e0 |
9441    |	    ⓡ     |	0x24e1 |
9442    |	    ⓢ     |	0x24e2 |
9443    |	    ⓣ     |	0x24e3 |
9444    |	    ⓤ     |	0x24e4 |
9445    |	    ⓥ     |	0x24e5 |
9446    |	    ⓦ     |	0x24e6 |
9447    |	    ⓧ     |	0x24e7 |
9448    |	    ⓨ     |	0x24e8 |
9449    |	    ⓩ     |	0x24e9 |
9450    |	    ⓪     |	0x24ea |
9451    |	    ⓫     |	0x24eb |
9452    |	    ⓬     |	0x24ec |
9453    |	    ⓭     |	0x24ed |
9454    |	    ⓮     |	0x24ee |
9455    |	    ⓯     |	0x24ef |
9456    |	    ⓰     |	0x24f0 |
9457    |	    ⓱     |	0x24f1 |
9458    |	    ⓲     |	0x24f2 |
9459    |	    ⓳     |	0x24f3 |
9460    |	    ⓴     |	0x24f4 |
9461    |	    ⓵     |	0x24f5 |
9462    |	    ⓶     |	0x24f6 |
9463    |	    ⓷     |	0x24f7 |
9464    |	    ⓸     |	0x24f8 |
9465    |	    ⓹     |	0x24f9 |
9466    |	    ⓺     |	0x24fa |
9467    |	    ⓻     |	0x24fb |
9468    |	    ⓼     |	0x24fc |
9469    |	    ⓽     |	0x24fd |
9470    |	    ⓾     |	0x24fe |
